Year	Init	AfterDeath	AfterBirth	MHC		
219	1157	1075	1157	961	
220	1157	1075	1157	964	
221	1157	1075	1157	973	
222	1157	1075	1157	974	
223	1157	1075	1157	974	
224	1157	1075	1157	980	
225	1157	1075	1157	987	
226	1157	1075	1157	988	
227	1157	1075	1157	982	
228	1157	1075	1157	976	
229	1157	1075	1157	980	
230	1157	1075	1157	987	
231	1157	1075	1157	986	
232	1157	1075	1157	986	
233	1157	1075	1157	986	
234	1157	1075	1157	989	
235	1157	1075	1157	987	
236	1157	1075	1157	989	
237	1157	1075	1157	984	
238	1157	1075	1157	981	
239	1157	1075	1157	982	
240	1157	1075	1157	982	
241	1157	1075	1157	978	
242	1157	1075	1157	982	
243	1157	1075	1157	982	
244	1157	1075	1157	980	
245	1157	1075	1157	980	
246	1157	1075	1157	979	
247	1157	1075	1157	978	
248	1157	1075	1157	976	
249	1157	1075	1157	979	
250	1157	1075	1157	982	
251	1157	1075	1157	983	
252	1157	1075	1157	985	
253	1157	1075	1157	988	
254	1157	1075	1157	995	
255	1157	1075	1157	999	
256	1157	1075	1157	1000	
257	1157	1075	1157	1000	
258	1157	1075	1157	999	
259	1157	1075	1157	1001	
260	1157	1075	1157	999	
261	1157	1075	1157	995	
262	1157	1075	1157	1001	
263	1157	1075	1157	1000	
264	1157	1075	1157	1001	
265	1157	1075	1157	1000	
266	1157	1075	1157	994	
267	1157	1075	1157	989	
268	1157	1075	1157	986	
269	1157	1075	1157	988	
270	1157	1075	1157	985	
271	1157	1075	1157	983	
272	1157	1075	1157	985	
273	1157	1075	1157	986	
274	1157	1075	1157	987	
275	1157	1075	1157	978	
276	1157	1075	1157	979	
277	1157	1075	1157	974	
278	1157	1075	1157	976	
279	1157	1075	1157	976	
280	1157	1075	1157	978	
281	1157	1075	1157	975	
282	1157	1075	1157	969	
283	1157	1075	1157	974	
284	1157	1075	1157	972	
285	1157	1075	1157	967	
286	1157	1075	1157	970	
287	1157	1075	1157	973	
288	1157	1075	1157	972	
289	1157	1075	1157	979	
290	1157	1075	1157	978	
291	1157	1075	1157	981	
292	1157	1075	1157	980	
293	1157	1075	1157	983	
294	1157	1075	1157	986	
295	1157	1075	1157	989	
296	1157	1075	1157	993	
297	1157	1075	1157	994	
298	1157	1075	1157	1000	
299	1157	1075	1157	998	
300	1157	1075	1157	1002	
301	1157	1075	1157	1000	
302	1157	1075	1157	998	
303	1157	1075	1157	998	
304	1157	1075	1157	995	
305	1157	1075	1157	995	
306	1157	1075	1157	989	
307	1157	1075	1157	988	
308	1157	1075	1157	982	
309	1157	1075	1157	975	
310	1157	1075	1157	979	
311	1157	1075	1157	983	
312	1157	1075	1157	982	
313	1157	1075	1157	979	
314	1157	1075	1157	979	
315	1157	1075	1157	980	
316	1157	1075	1157	977	
317	1157	1075	1157	975	
318	1157	1075	1157	976	
319	1157	1075	1157	978	
320	1157	1075	1157	979	
321	1157	1075	1157	984	
322	1157	1075	1157	985	
323	1157	1075	1157	980	
324	1157	1075	1157	978	
325	1157	1075	1157	979	
326	1157	1075	1157	971	
327	1157	1075	1157	969	
328	1157	1075	1157	965	
329	1157	1075	1157	965	
330	1157	1075	1157	968	
331	1157	1075	1157	964	
332	1157	1075	1157	966	
333	1157	1075	1157	969	
334	1157	1075	1157	970	
335	1157	1075	1157	969	
336	1157	1075	1157	971	
337	1157	1075	1157	971	
338	1157	1075	1157	969	
339	1157	1075	1157	972	
340	1157	1075	1157	972	
341	1157	1075	1157	976	
342	1157	1075	1157	974	
343	1157	1075	1157	976	
344	1157	1075	1157	978	
345	1157	1075	1157	980	
346	1157	1075	1157	974	
347	1157	1075	1157	971	
348	1157	1075	1157	974	
349	1157	1075	1157	971	
350	1157	1075	1157	969	
351	1157	1075	1157	975	
352	1157	1075	1157	974	
353	1157	1075	1157	972	
354	1157	1075	1157	969	
355	1157	1075	1157	971	
356	1157	1075	1157	971	
357	1157	1075	1157	970	
358	1157	1075	1157	965	
359	1157	1075	1157	965	
360	1157	1075	1157	972	
361	1157	1075	1157	974	
362	1157	1075	1157	976	
363	1157	1075	1157	973	
364	1157	1075	1157	972	
365	1157	1075	1157	976	
366	1157	1075	1157	982	
367	1157	1075	1157	983	
368	1157	1075	1157	982	
369	1157	1075	1157	986	
370	1157	1075	1157	981	
371	1157	1075	1157	984	
372	1157	1075	1157	986	
373	1157	1075	1157	982	
374	1157	1075	1157	976	
375	1157	1075	1157	976	
376	1157	1075	1157	973	
377	1157	1075	1157	976	
378	1157	1075	1157	974	
379	1157	1075	1157	971	
380	1157	1075	1157	967	
381	1157	1075	1157	970	
382	1157	1075	1157	965	
383	1157	1075	1157	972	
384	1157	1075	1157	976	
385	1157	1075	1157	973	
386	1157	1075	1157	973	
387	1157	1075	1157	971	
388	1157	1075	1157	974	
389	1157	1075	1157	972	
390	1157	1075	1157	970	
391	1157	1075	1157	969	
392	1157	1075	1157	968	
393	1157	1075	1157	974	
394	1157	1075	1157	973	
395	1157	1075	1157	969	
396	1157	1075	1157	973	
397	1157	1075	1157	968	
398	1157	1075	1157	971	
399	1157	1075	1157	970	
400	1157	1075	1157	976	
401	1157	1075	1157	972	
402	1157	1075	1157	977	
403	1157	1075	1157	977	
404	1157	1075	1157	975	
405	1157	1075	1157	974	
406	1157	1075	1157	975	
407	1157	1075	1157	980	
408	1157	1075	1157	982	
409	1157	1075	1157	978	
410	1157	1075	1157	976	
411	1157	1075	1157	982	
412	1157	1075	1157	990	
413	1157	1075	1157	991	
414	1157	1075	1157	989	
415	1157	1075	1157	992	
416	1157	1075	1157	997	
417	1157	1075	1157	998	
418	1157	1075	1157	988	
419	1157	1075	1157	984	
420	1157	1075	1157	984	
421	1157	1075	1157	979	
422	1157	1075	1157	983	
423	1157	1075	1157	982	
424	1157	1075	1157	976	
425	1157	1075	1157	969	
426	1157	1075	1157	968	
427	1157	1075	1157	968	
428	1157	1075	1157	969	
429	1157	1075	1157	969	
430	1157	1075	1157	969	
431	1157	1075	1157	977	
432	1157	1075	1157	979	
433	1157	1075	1157	978	
434	1157	1075	1157	983	
435	1157	1075	1157	982	
436	1157	1075	1157	985	
437	1157	1075	1157	986	
438	1157	1075	1157	984	
439	1157	1075	1157	986	
440	1157	1075	1157	981	
441	1157	1075	1157	977	
442	1157	1075	1157	973	
443	1157	1075	1157	974	
444	1157	1075	1157	972	
445	1157	1075	1157	970	
446	1157	1075	1157	968	
447	1157	1075	1157	968	
448	1157	1075	1157	967	
449	1157	1075	1157	968	
450	1157	1075	1157	969	
451	1157	1075	1157	964	
452	1157	1075	1157	967	
453	1157	1075	1157	973	
454	1157	1075	1157	978	
455	1157	1075	1157	977	
456	1157	1075	1157	976	
457	1157	1075	1157	973	
458	1157	1075	1157	975	
